"year","occupation","occ_level","occ_group","occ_subgroup","total_16plus","men_16plus","men_20plus","women_16plus","women_20plus"
2024,"Healthcare support occupations",1,"service",NA,5456,841,822,4615,4484
2024,"Protective service occupations",1,"service",NA,3110,2327,2240,783,716
2024,"Food preparation and serving related occupations",1,"service",NA,8061,3685,3012,4376,3550
2024,"Building and grounds cleaning and maintenance occupations",1,"service",NA,5770,3422,3255,2347,2288
2024,"Personal care and service occupations",1,"service",NA,4055,971,885,3084,2883
2024,"Sales and office occupations",0,"sales_office",NA,29885,11825,11210,18061,17094
2024,"Sales and related occupations",1,"sales_office",NA,14090,7337,6896,6754,6098
2024,"Office and administrative support occupations",1,"sales_office",NA,15795,4488,4314,11307,10995
2024,"Natural resources, construction, and maintenance occupations",0,"natural_resources_construction",NA,14391,13530,13138,861,813
2024,"Farming, fishing, and forestry occupations",1,"natural_resources_construction",NA,970,701,647,269,241
2024,"Construction and extraction occupations",1,"natural_resources_construction",NA,8520,8150,7935,370,358
2024,"Installation, maintenance, and repair occupations",1,"natural_resources_construction",NA,4901,4680,4557,222,214
2024,"Production, transportation, and material moving occupations",0,"production_transportation",NA,19873,14996,14448,4877,4663
2024,"Production occupations",1,"production_transportation",NA,7944,5653,5518,2291,2228
2024,"Transportation and material moving occupations",1,"production_transportation",NA,11930,9344,8930,2586,2434
2025,"Management, professional, and related occupations",0,"management_professional",NA,71338,34097,33860,37241,36910
2025,"Management, business, and financial operations occupations",1,"management_professional","management_business_financial",31049,16899,16824,14150,14079
2025,"Management occupations",2,"management_professional","management_business_financial",20876,12141,12083,8735,8690
2025,"Business and financial operations occupations",2,"management_professional","management_business_financial",10173,4758,4741,5415,5389
2025,"Professional and related occupations",1,"management_professional","professional_related",40289,17199,17036,23090,22831
2025,"Computer and mathematical occupations",2,"management_professional","professional_related",6711,4867,4854,1844,1839
2025,"Architecture and engineering occupations",2,"management_professional","professional_related",3675,2965,2947,710,705
2025,"Life, physical, and social science occupations",2,"management_professional","professional_related",1858,940,934,918,911
2025,"Community and social service occupations",2,"management_professional","professional_related",2846,881,867,1964,1948
2025,"Legal occupations",2,"management_professional","professional_related",1880,827,826,1053,1051
2025,"Education, training, and library occupations",2,"management_professional","professional_related",9452,2418,2386,7034,6923
2025,"Arts, design, entertainment, sports, and media occupations",2,"management_professional","professional_related",3504,1737,1678,1767,1705
2025,"Healthcare practitioners and technical occupations",2,"management_professional","professional_related",10364,2563,2544,7801,7749
2025,"Service occupations",0,"service",NA,27230,11499,10462,15732,14424
2025,"Healthcare support occupations",1,"service",NA,5830,966,941,4865,4739
2025,"Protective service occupations",1,"service",NA,3344,2566,2483,778,704
2025,"Food preparation and serving related occupations",1,"service",NA,8292,3675,2979,4617,3800
2025,"Building and grounds cleaning and maintenance occupations",1,"service",NA,5708,3351,3197,2357,2299
2025,"Personal care and service occupations",1,"service",NA,4057,941,861,3116,2882
2025,"Sales and office occupations",0,"sales_office",NA,30604,12306,11712,18298,17379
2025,"Sales and related occupations",1,"sales_office",NA,14159,7453,7042,6706,6105
2025,"Office and administrative support occupations",1,"sales_office",NA,16444,4853,4671,11591,11274
2025,"Natural resources, construction, and maintenance occupations",0,"natural_resources_construction",NA,14550,13682,13343,868,822
2025,"Farming, fishing, and forestry occupations",1,"natural_resources_construction",NA,1000,732,681,268,240
2025,"Construction and extraction occupations",1,"natural_resources_construction",NA,8490,8126,7936,364,355
2025,"Installation, maintenance, and repair occupations",1,"natural_resources_construction",NA,5060,4824,4727,237,227
2025,"Production, transportation, and material moving occupations",0,"production_transportation",NA,19770,14978,14429,4792,4601
2025,"Production occupations",1,"production_transportation",NA,7889,5648,5534,2241,2180
2025,"Transportation and material moving occupations",1,"production_transportation",NA,11881,9330,8895,2551,2421
