"year","section","sex","age_group","race","marital_status","total_unemployed","less_5_weeks","5_to_14_weeks","15_plus_weeks","15_to_26_weeks","27_plus_weeks","avg_duration","median_duration"
2022,"age_sex","Men","55-64",NA,NA,376,117,99,160,46,114,30.3,10.9
2022,"age_sex","Men","65+",NA,NA,187,70,43,74,21,53,33.5,9.9
2022,"age_sex","Women","16+",NA,NA,2778,1045,806,927,359,568,21.4,8.3
2022,"age_sex","Women","16-19",NA,NA,324,168,106,50,31,18,9.6,4.4
2022,"age_sex","Women","20-24",NA,NA,446,198,135,113,47,67,15.4,6.2
2022,"age_sex","Women","25-34",NA,NA,666,230,209,227,92,135,20.4,8.8
2022,"age_sex","Women","35-44",NA,NA,498,165,139,194,75,119,24.2,10
2022,"age_sex","Women","45-54",NA,NA,384,131,107,147,53,93,26.6,9.5
2022,"age_sex","Women","55-64",NA,NA,323,102,78,143,46,96,29.4,11.2
2022,"age_sex","Women","65+",NA,NA,136,52,31,54,14,40,29,8.8
2022,"race","Total","White, 16+","White",NA,4049,1587,1159,1303,485,818,21.4,7.9
2022,"race","Men",NA,"White",NA,2238,853,630,755,269,486,22.7,8.4
2022,"race","Women",NA,"White",NA,1811,734,529,548,216,332,19.8,7.4
2022,"race","Total","Black or African American, 16+","Black or African American",NA,1300,405,367,527,194,333,25.6,10.4
2022,"race","Men",NA,"Black or African American",NA,642,205,184,253,89,164,26.2,10.1
2022,"race","Women",NA,"Black or African American",NA,658,200,184,274,105,169,25.1,10.7
2022,"race","Total","Asian, 16+","Asian",NA,306,100,85,121,37,84,26.6,10.5
2022,"race","Men",NA,"Asian",NA,165,48,48,69,19,50,27.9,11.4
2022,"race","Women",NA,"Asian",NA,140,51,37,52,18,34,24.9,9.5
2022,"race","Total","Hispanic or Latino ethnicity, 16+","Hispanic or Latino",NA,1302,521,358,423,149,274,21.7,7.9
2022,"race","Men",NA,"Hispanic or Latino",NA,715,290,189,236,75,161,22.7,7.8
2022,"race","Women",NA,"Hispanic or Latino",NA,587,231,169,187,75,113,20.4,8.1
2022,"marital","Men",NA,NA,"Married, spouse present",881,330,238,313,109,205,24.3,8.9
2022,"marital","Men",NA,NA,"Widowed, divorced, or  separated",415,143,106,166,50,116,28.9,10.1
2022,"marital","Men",NA,NA,"Never married",1922,698,561,663,239,425,22.3,8.8
2022,"marital","Women",NA,NA,"Married, spouse present",802,303,239,261,102,159,21.7,8.4
2022,"marital","Women",NA,NA,"Widowed, divorced, or  separated",497,174,129,194,71,124,24.6,9.3
2022,"marital","Women",NA,NA,"Never married",1478,569,437,472,187,285,20.1,7.9
2023,"age_sex","Total","16+",NA,NA,6080,2112,1866,2102,925,1177,20.6,8.9
2023,"age_sex","Total","16-19",NA,NA,713,337,226,151,77,74,11.7,5.2
2023,"age_sex","Total","20-24",NA,NA,1044,369,354,321,159,162,16.3,8.3
2023,"age_sex","Total","25-34",NA,NA,1465,497,442,527,234,292,20.9,9.3
2023,"age_sex","Total","35-44",NA,NA,1031,336,318,377,160,218,22.5,9.8
2023,"age_sex","Total","45-54",NA,NA,821,261,239,321,143,178,23.8,10
2023,"age_sex","Total","55-64",NA,NA,689,203,200,286,103,183,27.4,10.7
2023,"age_sex","Total","65+",NA,NA,316,110,88,119,49,70,23.8,9.1
2023,"age_sex","Men","16+",NA,NA,3377,1149,1018,1210,532,678,21.2,9.2
2023,"age_sex","Men","16-19",NA,NA,392,185,122,85,43,42,12,5.2
2023,"age_sex","Men","20-24",NA,NA,591,209,187,195,90,105,17.1,8.7
2023,"age_sex","Men","25-34",NA,NA,829,279,245,304,132,172,21.7,9.5
2023,"age_sex","Men","35-44",NA,NA,558,174,177,208,96,112,22.6,10.3
2023,"age_sex","Men","45-54",NA,NA,450,137,130,183,86,97,24.3,10.5
2023,"age_sex","Men","55-64",NA,NA,388,111,112,166,59,107,27.7,11.1
2023,"age_sex","Men","65+",NA,NA,169,55,45,70,28,42,25.5,10.1
2023,"age_sex","Women","16+",NA,NA,2702,962,848,892,393,499,19.9,8.5
2023,"age_sex","Women","16-19",NA,NA,321,151,103,66,34,32,11.4,5.2
2023,"age_sex","Women","20-24",NA,NA,453,160,167,126,69,57,15.3,7.8
2023,"age_sex","Women","25-34",NA,NA,637,218,197,223,102,120,19.7,9
2023,"age_sex","Women","35-44",NA,NA,473,163,141,170,64,106,22.4,9.3
2023,"age_sex","Women","45-54",NA,NA,371,124,109,138,58,81,23.2,9.5
2023,"age_sex","Women","55-64",NA,NA,301,92,89,120,44,76,27,10.3
2023,"age_sex","Women","65+",NA,NA,147,55,43,49,22,27,22,8
